system,suite,name,time_ms,acc_main,acc_aux,extra
python,regression,LM_n1000_p5,0.690252,0.780285,0.507375,sklearn.LinearRegression
python,regression,LM_n10000_p50,15.8355,0.806338,0.503039,sklearn.LinearRegression
python,regression,LM_n100000_p100,632.687,0.808168,0.50257,sklearn.LinearRegression
python,regression,GLM_logit_n2000_p10,1.59804,0.207811,0.445021,sklearn.LogisticRegression (lbfgs)
python,regression,GLM_logit_n10000_p20,4.28112,0.323405,0.411273,sklearn.LogisticRegression (lbfgs)
python,regression,GLM_poisson_n2000_p10,1.27989,0.186841,1.35899,sklearn.PoissonRegressor
python,regression,GLM_poisson_n10000_p20,2.54631,0.410086,1.37632,sklearn.PoissonRegressor
python,regression,LME_n2000_p5_g20,46.2068,0.969491,0.959517,statsmodels.MixedLM (lbfgs)
python,regression,LME_n10000_p10_g50,94.6125,0.960339,0.915803,statsmodels.MixedLM (lbfgs)
python,regression,Ridge_n1000_p5,0.395574,0.78023,0.507438,sklearn.Ridge alpha=1.0
python,regression,Ridge_n10000_p50,2.50809,0.806317,0.503067,sklearn.Ridge alpha=1.0
python,regression,Lasso_n1000_p5,0.875093,0.769581,0.519587,sklearn.Lasso alpha=0.05
python,regression,Lasso_n10000_p50,1.94001,0.764406,0.554832,sklearn.Lasso alpha=0.05
python,regression,EN_n1000_p5,0.378849,0.76219,0.527855,sklearn.ElasticNet alpha=0.1 l1_ratio=0.5
python,regression,EN_n10000_p50,1.88472,0.756805,0.563712,sklearn.ElasticNet alpha=0.1 l1_ratio=0.5
